message,timestamp,id,n_replies,n_likes,media_id,in_reply_to,from.id,from.username,from.is_verified,from.url,from.profile_pic,urls,n_urls
"Тебя я встретил — и пропал.
В любви к тебе я утонул.
Когда по сторонам смотрю,
То вижу лишь тебя одну.

Твой голос музыкой звучит
В ушах моих и день, и ночь.
Я без тебя тоскую так,
Что можешь только ты помочь.

Без нежности твоей не жить,
Спаси улыбкою своей!
И буду я тебя любить
За доброту еще сильней!
♥ http://lovefond.ru/stihi/o-lyubvi/lyubimoy-devushke/6.htm",2021-03-05 13:23:00,1.8196563010057836e+16,0.0,0.0,2.522478876649482e+18,,27028261108.0,mir_o_slav_71,False,https://www.instagram.com/mir_o_slav_71,,['http://lovefond.ru/stihi/o-lyubvi/lyubimoy-devushke/6.htm'],1
There you are! I was searching this beach high and low looking for you. Let me grab you off those rocks hold a sec... https://youtu.be/WwlNPhn64TA. A Boobytrap! Wouldn’t you know it? 😱,2021-01-16 13:08:28,1.7892691618824912e+16,0.0,0.0,2.4876594978512896e+18,,15794220150.0,ticetm6,False,https://www.instagram.com/ticetm6,,['https://youtu.be/WwlNPhn64TA'],1
https://m.facebook.com/story.php?story_fbid=1304483586593198&id=865616463813248,2021-01-19 02:38:24,1.785722006345473e+16,0.0,0.0,2.4895311230825216e+18,,38340081816.0,readwrld_,False,https://www.instagram.com/readwrld_,,['https://m.facebook.com/story.php?story_fbid=1304483586593198&id=865616463813248'],1
Please subscribe my channel https://youtube.com/channel/UC1aXFVDS7j8Ak-uvjT_qRDw,2021-01-17 17:13:19,1.8044051689285404e+16,0.0,1.0,2.487034113360162e+18,,27661664439.0,salient.ahmed,False,https://www.instagram.com/salient.ahmed,,['https://youtube.com/channel/UC1aXFVDS7j8Ak-uvjT_qRDw'],1
https://www.cbr.com/johnny-depp-amber-heard-police-body-cam-footage/,2021-04-19 15:09:15,1.8217688317050104e+16,0.0,0.0,2.554717887322613e+18,,34563705750.0,maradolcebis,False,https://www.instagram.com/maradolcebis,,['https://www.cbr.com/johnny-depp-amber-heard-police-body-cam-footage/'],1
https://youtube.com/channel/UCq16Kp_3EgFYvCGeDyTjDKg,2021-03-02 16:07:31,1.7883754013085744e+16,0.0,0.0,2.519896884581801e+18,,3991424144.0,mohamed.jabllah,False,https://www.instagram.com/mohamed.jabllah,,['https://youtube.com/channel/UCq16Kp_3EgFYvCGeDyTjDKg'],1
https://youtu.be/oEaUIWJoX34,2021-02-17 22:42:18,1.7885387684051874e+16,0.0,0.0,2.5108232705282606e+18,,45245943896.0,marksman_666,False,https://www.instagram.com/marksman_666,,['https://youtu.be/oEaUIWJoX34'],1
https://instagram.com/johnny.depp.is.a.bully?igshid=srswelq1tdnl <<< this acc here GENUINLY makes me laugh @/johnny.depp.is.a.bully 💀,2021-03-26 01:32:02,1.7905584226762446e+16,0.0,1.0,2.537394673193856e+18,,13502388788.0,liliatherat,False,https://www.instagram.com/liliatherat,,['https://instagram.com/johnny.depp.is.a.bully?igshid=srswelq1tdnl'],1
"Ты царевна моя,
И готов я пройти
Эту землю кругом,
Чтоб тебя обрести.

Чтобы рядом с тобой
Эту жизнь провести
И утешить тебя,
Если вдруг загрустишь.

За улыбку твою
Всё готов я отдать,
Верь мне, сердце
Не может солгать!
♥ http://lovefond.ru/stihi/o-lyubvi/lyubimoy-devushke/11.htm",2021-03-05 15:10:30,1.8152471647189344e+16,0.0,0.0,2.5226497136040474e+18,,27028261108.0,mir_o_slav_71,False,https://www.instagram.com/mir_o_slav_71,,['http://lovefond.ru/stihi/o-lyubvi/lyubimoy-devushke/11.htm'],1
https://youtu.be/lLT-vCRhc0E. 😱. https://youtu.be/eeoc35OZnr8.  https://youtu.be/6HvdfJEkoa8. https://youtu.be/vPrYKz9DZ6E. https://youtu.be/cvWWEwM-Yz8. Adversity vs the working man. https://youtu.be/Hz_JF3oM_U0.,2021-01-18 19:56:06,1.787584414712717e+16,0.0,0.0,2.489460079406636e+18,,15794220150.0,ticetm6,False,https://www.instagram.com/ticetm6,,"['https://youtu.be/lLT-vCRhc0E', 'https://youtu.be/eeoc35OZnr8', 'https://youtu.be/6HvdfJEkoa8', 'https://youtu.be/vPrYKz9DZ6E', 'https://youtu.be/cvWWEwM-Yz8', 'https://youtu.be/Hz_JF3oM_U0']",6
@zinxy8_r.i.p https://www.independent.co.uk/news/world/americas/us-election-2020/proud-boys-terror-capitol-riot-b1783996.html,2021-01-08 03:10:05,1.7871631079186032e+16,,3.0,2.481202871400786e+18,1.787758933705638e+16,7598916537.0,the_sahardesert,,https://www.instagram.com/the_sahardesert,,['https://www.independent.co.uk/news/world/americas/us-election-2020/proud-boys-terror-capitol-riot-b1783996.html'],1
"Hello, good day, here I leave you this invitation in case you can see this link on nutrition and beauty, thank you
https://rosaavella.mynuskin.com",2021-02-02 12:57:26,1.7894450341859096e+16,0.0,0.0,2.4996296345872246e+18,,288731515.0,rosaavellaalgmailcom,False,https://www.instagram.com/rosaavellaalgmailcom,,['https://rosaavella.mynuskin.com'],1
Please check out my podcast on this movie - https://anchor.fm/jasasmovies/episodes/Thoughts-on-Zack-Snyders-Cut-and-Justice-League-et8qs9,2021-03-26 02:13:55,1.820922188504544e+16,0.0,0.0,2.530742338329895e+18,,46712009017.0,jasasmovies,False,https://www.instagram.com/jasasmovies,,['https://anchor.fm/jasasmovies/episodes/Thoughts-on-Zack-Snyders-Cut-and-Justice-League-et8qs9'],1
https://youtu.be/0KsWBloi8sg,2021-04-27 17:38:59,1.793884156049575e+16,0.0,0.0,2.5611829854935997e+18,,3966735245.0,_amirmarahall_,False,https://www.instagram.com/_amirmarahall_,,['https://youtu.be/0KsWBloi8sg'],1
Not true! Read this -> https://www.whats-on-netflix.com/news/did-netflix-remove-johnny-depp-movies/,2021-01-13 02:20:48,1.788837546491728e+16,0.0,0.0,2.4852020970579297e+18,,4126411117.0,kayleigh139,False,https://www.instagram.com/kayleigh139,,['https://www.whats-on-netflix.com/news/did-netflix-remove-johnny-depp-movies/'],1
https://www.youtube.com/watch?v=2I4_qviUD60,2021-03-31 22:35:24,1.799651394732426e+16,0.0,0.0,2.5342012198682696e+18,,32108845994.0,mbmanray,False,https://www.instagram.com/mbmanray,,['https://www.youtube.com/watch?v=2I4_qviUD60'],1
