source,target,frequency
{'Nor33 '},{' Justice for Johnny Depp '},1
{'Etzy'},"{' Erika ', ' ', 'duda', 'Johnny Depp BR ', 'Tracey Brooks', 'Maf ', ' s MelodyStan Johnny Depp'}",7
{'I m Tony Snark Irony Man'},{'Persephone '},1
{'sunicamarkovic'},{'Jamile Araujo Martinski'},1
{'Em'},{'Mrs John Christopher Depp II'},1
{'Pablo Peixoto'},{' '},1
{'Monicaaaa'},{'Vaielena'},1
{'jessicalockhart'},{'Luna'},1
{' '},{'Teri Carson '},1
{'Jon Read'},{'FMGiveMeTruth '},1
{'OM NOM NOM NOM NOM NOM NOM NOM NOM NOM NOMINOUS'},"{' is off ', 'Gina', 'brooke'}",3
{'Myri i am '},{'seedoftruth '},1
{'Erik Montoya Treanor'},{'FMGiveMeTruth '},1
{'J S As C '},"{'Jo', 'FMGiveMeTruth '}",2
{' '},"{'Serpens1984', 'Violetta', 'Kaylee Manning', 'TerryEllahElsa', ' is off ', 'Elon and TSLA are frauds', 'Mariam', 'Luxdarlz', 'Dr Jayne B Waldmingon PHD ', 'True Krdnchki', 'Cam', 'ResIpsaLoquitur', 'Lady Stardust '}",13
{'Bill Schulz'},{'CARMEN'},1
{'Holly'},{'Stacey Skirving '},1
{'Dee '},{'Pomta '},1
{'Brianna Michelle Who sLaughingNow'},{'Juliana'},1
{' '},{'Kris '},1
{' Alexandra '},{'Ra l S JusticeForJohnnyDepp'},1
{'Jess Garcia '},"{'Agent Sweet Liquor ', 'JuneJules'}",2
{'Noelle Hannibal she her BLM '},{'amit chaudhary Daniel '},1
{'Nerdista'},{' Om Dr mm '},1
{'breecooley '},{'Dee'},1
{'JohnnyDeppReads'},{' V d JusticeForJohnnyDepp '},1
{'Alexia Hudson Ward'},{' '},1
{'Phil Gray'},{'Teri Carson '},1
{'Cherie'},"{'Fleeee', 'Alejandra ', 'Teri Carson ', 'LillyJane916'}",4
{'H95'},"{'Teri Carson ', 'Nor33 ', 'AppeLello'}",3
{'sharon'},{'Teri Carson '},1
{'Rhomany'},{'Teri Carson '},1
{'Bryan Kelly'},{'Marianne Lloyd'},1
{'Robert Sharp '},{' Om Dr mm '},1
{'greeeneyedwhwom'},{' Martpunchispunchis'},1
{'Ivana Escalera'},"{'Abolish All Schools Katy ', 'The Phantom of the Opera', 'Horae of Peace', 'Guilherme Leirosa', 'Madame Tease'}",5
{'Toad Ya '},"{' is off ', 'Patcar'}",2
{'canteverdeal'},{'Courtney Lynn Murray'},1
{'Juniper Pearl'},{'leti as augustine from folklore '},1
{'Paqtasit Apsalqigwat '},{'Ghost'},1
{'Sarah Louise'},"{'Ewinters Wald Mignon', 'sandra Luna'}",2
{'Karin'},{' V d JusticeForJohnnyDepp '},1
{'Tami Croft'},"{'Lizzie Borden ', 'Mary Bolden', ' Angel Depp ', 'John Waldman ', 'sandra Luna'}",5
{' '},{'Teri Carson '},1
{' '},{'Zuckerwaffe '},1
{'Liam'},"{'M julie', 'Teri Carson '}",2
{'CLAUDIA'},"{'Carola', 'Sweetest Sands ustice or ohnny epp ', ' ', 'The Right Side of the Roaring Rapids', 'Liono Grinch', 'PrettyhateMachine', 'Arwen sparrow', 'DorkAngel GBW', 'Libby JusticeForJohnnyDepp', ' Daisy ', 'LillyJane916', 'DeppHeads United JusticeForJohnnyDepp', 'Princess Consuela Bananahammock', 'Linda Lou ', 'Ewinters Wald Mignon', 'Mar a Alejandra', ' V d JusticeForJohnnyDepp ', 'SIGYN JusticeForJohnnyDepp'}",18
{'Jacke'},{'Linda Lou '},1
{'RickyJ'},"{' is off ', 'Caitlin', 'meh'}",3
{'Firecloud'},{'Stephanie Brown'},1
{'Mara Moran'},{'Unkn wn N ne f N where '},1
{'Whitney'},{'Ghost'},1
{'Courtney Lynn Murray'},"{'Belinda ', 'JohnnyDeppDeservesBetter'}",2
{'David Brown'},{' '},1
{'RJHern'},"{'Guilherme Leirosa', 'Stephanie Brown'}",2
{'Jay'},{' PhD '},1
{'Author Claudette Melanson BidenHarris vaccinated'},{'Jay4prez'},1
{'Becca K'},{'Adorkable Ally'},1
{'Ginger'},{' V d JusticeForJohnnyDepp '},1
{'Carmel Parker'},{'B Red'},1
{' M LYGOOMB '},{'subtweetive streak'},1
{' Chispita '},"{'Fleeee', 'lenni Wald Mignon'}",2
{' Danielle '},{'Libby JusticeForJohnnyDepp'},1
{' Sugarplum Fairy '},{'Teri Carson '},1
{'Nerdy Nicole is Suspish of Everyone '},{'Teri Carson '},1
{'Stephanie'},{'B Red'},1
{'Miss Mox'},{'Jo'},1
{'Sarah Lou'},"{'A Relative ', 'Caitlin', 'Poppy ', 'Genevieve Olin ', 'Mya', 'Murmeltier '}",6
{'Emmanuel Garibay'},{'Victoria Breakwell Wald Mignon '},1
{'Lynae'},{'Stephen Seamus O Connor'},1
{'Mandee '},{'MELLY'},1
{'Athena'},{'Justyna'},1
{' '},{'smoth'},1
{'Mrs Pixie Bear Jo Hicks '},"{' ', 'Jen '}",2
{' Here here I am '},{'Chris Rembert'},1
{'Moon'},{'Dr Nu Nu Minamata'},1
{'True MJ Fan'},{'Johnny is our Grindelwald'},1
{'Sahina'},{'Jules Carlysle'},1
{'colleen'},{'Guilherme Leirosa'},1
{'Emily Fitzgerald emilyfitzgerald substack com'},"{'ForDaMik JohnnyDeppIsInnocent Justice', '', 'passeando', 'there ', ' ', 'Bernardo Paz', 'Deppthebest ', 'Gabi', 'me in howl s castle', 'Johnny Depp BR ', ' EUPHORIA IS COMING', ' h ', 'giu saw nwh'}",13
{'MCoLa707'},{'Deppthebest '},1
{'Becky'},"{'againstdomesticviolence', ' classicpaws ', 'Cassie Roehr', ' ', ' MSW ', 'Ewinters Wald Mignon', 'Marvel Fury'}",7
{'Helene Lee'},{'Andreea DeppHead of Romania Cacoveanu'},1
{'karissa ann '},{'Frostea '},1
{'Kaylee Manning'},{'RoyaltiD DeppWarriors'},1
{'Alastair '},"{'YouGottaBeKiddingMe2121', 'Donia Eraiq', 'Sweetest Sands ustice or ohnny epp ', 'Horae of Peace', 'T', 'Pam Love '}",6
{'The Girl Who Waited'},{'Unkn wn N ne f N where '},1
{' Shawn Lunn '},{'AZian Channo'},1
{'Nony '},{'Kilpikonnanyst v '},1
{'GIANT FREAKIN ROBOT'},{'Chacun fait c qui lui pla t '},1
{'Cheeseislife'},{'Mrs John Christopher Depp II'},1
{'Drak Get the vaccine FFS'},{'Violetta'},1
{'Si '},{'Ghost'},1
{'JolieBlonde '},"{'JD America', ' is off ', 'Caitlin', 'MadMaria Wald mignon', 'Kleyton Dekrassus ', ' MaxQ ', ' Esmraldha2'}",7
{'Bonnie Britain'},{'Ghost'},1
{'Julie JusticeForJohnnyDepp '},{'Engel Anael'},1
