Unnamed: 0,id,Unnamed: 0.1,kind,etag,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.dislikeCount,statistics.favoriteCount,statistics.commentCount,snippet.defaultLanguage,contentDetails.contentRating.ytRating,contentDetails.regionRestriction.blocked,contentDetails.regionRestriction.allowed,year
19,Bx6fMcFo7sk,0.0,youtube#video,0AIqF9ha5FdsdxUuQYLqKacWmm8,2017-12-24 05:58:08+00:00,UCuMAjEaSMj7q7YLf0xW1MjQ,"ciuman, amber heard dan elon musk balikan?","setelah berpisah, amber heard dan elon musk dikabarkan kembali bersama. keduanya kepergok berciuman di sebuah restoran.

https://www.google.co.id/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=0ahukewieqsjk-6hyahwely8khvkuaneqfggxmae&url=https%3a%2f%2fhot.detik.com%2fread%2f2017%2f12%2f23%2f180546%2f3783264%2f230%2fdikabarkan-balikan-amber-heard-dan-elon-musk-kepergok-ciuman&usg=aovvaw0yi1s7medeokyzpdfscw_n

https://20.detik.com/e-flash/20171223-171223033/ciuman-amber-heard-dan-elon-musk-balikan

ayo tonton dan share detik ini juga!

click our website :
- detikcom: https://www.detik.com
- 20detik: https://20.detik.com

follow official account detikcom di:

- twitter: https://twitter.com/detikcom
- instagram detikcom: https://instagram.com/detikcom
- instagram 20detik: https://www.instagram.com/20detik/
- facebook detikcom: https://www.facebook.com/detikcom
- facebook 20detik: https://www.facebook.com/20detik",https://i.ytimg.com/vi/Bx6fMcFo7sk/default.jpg,120,90,https://i.ytimg.com/vi/Bx6fMcFo7sk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Bx6fMcFo7sk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/Bx6fMcFo7sk/sddefault.jpg,640.0,480.0,,,,detikcom,"['detikcom', '20detik', 'amber heard', 'elon musk', 'amber heard x elon musk', 'elon musk x amber heard', 'elon musk balikan', 'amber heard balikan', 'gosip hollywood', 'gosip artis hollywood']",24,none,"Ciuman, Amber Heard dan Elon Musk Balikan?","Setelah berpisah, Amber Heard dan Elon Musk dikabarkan kembali bersama. Keduanya kepergok berciuman di sebuah restoran.

https://www.google.co.id/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=0ahUKEwiEqsjK-6HYAhWELY8KHVKuAnEQFggxMAE&url=https%3A%2F%2Fhot.detik.com%2Fread%2F2017%2F12%2F23%2F180546%2F3783264%2F230%2Fdikabarkan-balikan-amber-heard-dan-elon-musk-kepergok-ciuman&usg=AOvVaw0Yi1S7MedEokyzPDfsCw_N

https://20.detik.com/e-flash/20171223-171223033/ciuman-amber-heard-dan-elon-musk-balikan

Ayo tonton dan share detik ini juga!

click our website :
- detikcom: https://www.detik.com
- 20detik: https://20.detik.com

Follow official account detikcom di:

- Twitter: https://twitter.com/detikcom
- Instagram detikcom: https://instagram.com/detikcom
- Instagram 20detik: https://www.instagram.com/20detik/
- Facebook detikcom: https://www.facebook.com/detikcom
- Facebook 20detik: https://www.facebook.com/20detik",,PT39S,2d,hd,False,True,rectangular,processed,public,youtube,True,True,False,746,3.0,3.0,0,0.0,,,,,2017
31,UAkAq00jXUI,,youtube#video,y6WvkgD5TY90-ssZ-75MlDIHYrk,2017-07-26 07:06:14+00:00,UCSOw0ulcER_4qu2pSQNaHAQ,johnny depp wives (amber heard & lori anne allison),johnny depp wives (amber heard & lori anne allison),https://i.ytimg.com/vi/UAkAq00jXUI/default.jpg,120,90,https://i.ytimg.com/vi/UAkAq00jXUI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/UAkAq00jXUI/hqdefault.jpg,480,360,https://i.ytimg.com/vi/UAkAq00jXUI/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/UAkAq00jXUI/maxresdefault.jpg,1280.0,720.0,access hollywood,"['Johnny Depp Wives (Amber Heard & Lori Anne Allison)', 'Johnny Depp Spouse', 'Amber Heard', 'Lori Anne Allison', 'Johnny Depp', 'Johnny Depp Marriages']",24,none,Johnny Depp Wives (Amber Heard & Lori Anne Allison),Johnny Depp Wives (Amber Heard & Lori Anne Allison),,PT1M7S,2d,hd,False,False,rectangular,processed,public,youtube,True,True,False,6047,14.0,2.0,0,1.0,,,,,2017
46,34oGgWlMTFA,,youtube#video,7_BAjMAvR7CjK5rh0dcqpgD0C3Q,2017-11-17 22:10:42+00:00,UCj6HhiX_MPi9qYNFESy1isw,"aquaman movie 2018 teaser trailer - jason momoa, amber heard (fan trailer)","aquaman movie 2018 teaser trailer - jason momoa, amber heard (fan trailer) note | all rights reserved by original owner.",https://i.ytimg.com/vi/34oGgWlMTFA/default.jpg,120,90,https://i.ytimg.com/vi/34oGgWlMTFA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/34oGgWlMTFA/hqdefault.jpg,480,360,,,,,,,Movie Trailers Videos filmes,,22,none,"Aquaman Movie 2018 Teaser Trailer - Jason Momoa, Amber Heard (Fan trailer)","Aquaman Movie 2018 Teaser Trailer - Jason Momoa, Amber Heard (Fan trailer) Note | All Rights Reserved by Original Owner.",,PT3M19S,2d,sd,False,False,rectangular,processed,public,youtube,True,True,False,40,1.0,0.0,0,0.0,,,,,2017
49,k_wWG_x3DeA,0.0,youtube#video,T4CFoQ5Y6VAliwfthF_clCUUdH4,2017-06-10 08:52:33+00:00,UCw0jTAJeJKnuNIkFtOEupWQ,new couple amber heard and elon musk cosy up to one another during lunch date in la,"amber heard enjoys a lunch date with boyfriend elon musk. 

new couple amber heard and elon musk cosy up to one another during lunch date in la.


if you like this video, please like and subcribe my chanel, follow my page and blog

https://www.facebook.com/top-news-today-247-1671469019814204/ 
http://newstoday24h7d.blogspot.fr/",https://i.ytimg.com/vi/k_wWG_x3DeA/default.jpg,120,90,https://i.ytimg.com/vi/k_wWG_x3DeA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/k_wWG_x3DeA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/k_wWG_x3DeA/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/k_wWG_x3DeA/maxresdefault.jpg,1280.0,720.0,Top News Today 24/7,"['Amber Heard', 'Elon Musk', 'cosy', 'up', 'lunch', 'date', '#topnewstoday24/7', 'Amber Heard enjoys a lunch date with boyfriend Elon Musk', 'johnny depp', 'amber heard mera', 'amber heard']",25,none,New couple Amber Heard and Elon Musk cosy up to one another during lunch date in LA,"Amber Heard enjoys a lunch date with boyfriend Elon Musk. 

New couple Amber Heard and Elon Musk cosy up to one another during lunch date in LA.


If you like this video, please like and subcribe my chanel, follow my page and blog

https://www.facebook.com/Top-news-today-247-1671469019814204/ 
http://newstoday24h7d.blogspot.fr/",,PT1M58S,2d,hd,False,True,rectangular,processed,public,youtube,True,True,False,25875,44.0,46.0,0,35.0,,,,,2017
80,dDoYyyMC0is,0.0,youtube#video,rpsjMOZvRUVuefVgsPXCiZpMKeg,2017-08-24 19:40:39+00:00,UCEupiGyQl71vzfxFCDElyuQ,"liar, liar? elon musk dumps amber heard over fibs","“elon caught amber in countless lies. she would tell him she was having a quiet night in when she was actually out clubbing,” says a source,",https://i.ytimg.com/vi/dDoYyyMC0is/default.jpg,120,90,https://i.ytimg.com/vi/dDoYyyMC0is/mqdefault.jpg,320,180,https://i.ytimg.com/vi/dDoYyyMC0is/hqdefault.jpg,480,360,https://i.ytimg.com/vi/dDoYyyMC0is/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/dDoYyyMC0is/maxresdefault.jpg,1280.0,720.0,Star Magazine,"['Elon Musk', 'Amber Heard', 'Johnny Depp', 'Star Magazine']",24,none,"Liar, Liar? Elon Musk Dumps Amber Heard Over Fibs","“Elon caught Amber in countless lies. She would tell him she was having a quiet night in when she was actually out clubbing,” says a source,",en,PT1M35S,2d,hd,False,True,rectangular,processed,public,youtube,True,True,False,42673,313.0,123.0,0,214.0,,,,,2017
83,zWKAFiFI6vs,0.0,youtube#video,GT5FmrZ0WoHW2PbyGJd7bpvo0Z0,2017-08-10 14:13:31+00:00,UC9jj-YYSGUXvY2J2nYw9dNQ,elon musk and amber heard split,"the tesla titan and actress amber heard are parting ways. the two officially got together after finalizing their respective divorces and had been heating up the tech world since. but looks like it's their hectic schedules that eventually led to the sad breakup.

read more: http://mashable.com/
facebook: https://www.facebook.com/mashable/
twitter: https://twitter.com/mashable
instagram: https://www.instagram.com/mashable/",https://i.ytimg.com/vi/zWKAFiFI6vs/default.jpg,120,90,https://i.ytimg.com/vi/zWKAFiFI6vs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/zWKAFiFI6vs/hqdefault.jpg,480,360,https://i.ytimg.com/vi/zWKAFiFI6vs/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/zWKAFiFI6vs/maxresdefault.jpg,1280.0,720.0,Mashable Deals,"['tech', 'mashable-video', 'elon musk', 'telsa', 'amber heard', 'real time', 'Mashable', 'Entertainment', 'Relationships', 'Love', 'Breakups']",22,none,Elon Musk and Amber Heard split,"The Tesla titan and actress Amber Heard are parting ways. The two officially got together after finalizing their respective divorces and had been heating up the tech world since. But looks like it's their hectic schedules that eventually led to the sad breakup.

READ MORE: http://mashable.com/
FACEBOOK: https://www.facebook.com/mashable/
TWITTER: https://twitter.com/mashable
INSTAGRAM: https://www.instagram.com/mashable/",,PT49S,2d,hd,False,True,rectangular,processed,public,youtube,True,True,False,3527,9.0,10.0,0,0.0,,,,,2017
103,o29fqJzTht4,0.0,youtube#video,61zf6MOhybVTM_cD7HXnr7zBROs,2017-11-16 14:38:35+00:00,UCc6d_1jijWFEzQVP_MPo7OA,"nach trennung von amber heard  elon musk: ""alleine zu schlafen bringt mich um""","nach trennung von amber heard  elon musk: ""alleine zu schlafen bringt mich um""
 . nach einem jahr war schluss: tesla-chef elon musk und schauspielerin amber heard haben sich kürzlich getrennt. jetzt wurde die schönheit knutschend mit einem stuntman gesichtet. für den tech-milliardä...

watch video good: https://goo.gl/zefyun",https://i.ytimg.com/vi/o29fqJzTht4/default.jpg,120,90,https://i.ytimg.com/vi/o29fqJzTht4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/o29fqJzTht4/hqdefault.jpg,480,360,,,,,,,24h News,"['Unterhaltung', 'Boulrd', 'Stars', 'Promi-News', 'Elon Musk', 'Amber Heard', 'Instagram']",25,none,"nach trennung von amber heard  elon musk: ""alleine zu schlafen bringt mich um""","nach trennung von amber heard  elon musk: ""alleine zu schlafen bringt mich um""
 . Nach einem Jahr war Schluss: Tesla-Chef Elon Musk und Schauspielerin Amber Heard haben sich kürzlich getrennt. Jetzt wurde die Schönheit knutschend mit einem Stuntman gesichtet. Für den Tech-Milliardä...

Watch video good: https://goo.gl/ZEfYuN",,PT2M57S,2d,hd,False,False,rectangular,processed,public,youtube,True,True,False,10,0.0,0.0,0,0.0,,,,,2017
121,_3-kizWli2w,,youtube#video,pMxQk5IjkulCSLUsCAOiMam65s0,2017-11-06 08:43:29+00:00,UCjH0RBT-7QhpSgLFnPLgD0Q,son was killed in teen wilderness camp nightmare,"lynn joins the doctors to share her experience sending her teen son that lacked confidence to a wilderness camp designed for troubled kids. six days in, she received a call no mother should get.

subscribe to the doctors: http://bit.ly/subscribethedrs
like us on facebook: http://bit.ly/facebookthedoctors
follow us on twitter: http://bit.ly/thedrstwitter
follow us on instagram: http://bit.ly/instagramthedoctorstv
follow us on pinterest: http://bit.ly/pinterestthedrs

about the doctors:

the doctors is an emmy award-winning daytime talk show hosted by er physician dr. travis stork, plastic surgeon dr. andrew ordon and ob-gyn dr. nita landry.

the doctors helps you understand the latest health headlines, such as the ice bucket challenge for als and the ebola outbreak; delivers exclusive interviews with celebrities dealing with health issues, such as lamar odom, teen mom star farrah abraham, reality stars honey boo boo and mama june, and activist chaz bono; brings you debates about health and safety claims from agricultural company monsanto and celebrities such as jenny mccarthy; and shows you the latest gross viral videos and explains how you can avoid an emergency situation. the doctors also features the news in 2:00 digest of the latest celebrity health news and the doctors’ prescription for simple steps to get active, combat stress, eat better and live healthier. 

now in its eighth season, the doctors celebrity guests have included academy award winners sally field, barbra streisand, jane fonda, marcia gay harden, kathy bates and marisa tomei; reality stars from teen mom and the real housewives, as well as kris jenner, caitlyn jenner, melissa rivers, sharon osbourne, tim gunn and amber rose; actors jessica alba, christina applegate, julie bowen, patricia heaton, chevy chase, kristin davis, lou ferrigno, harrison ford, grace gealey, cedric the entertainer, valerie harper, debra messing, chris o’donnell, betty white, linda gray, fran drescher, emmy rossum, roseanne barr, valerie bertinelli, suzanne somers; athletes magic johnson, apolo ohno and danica patrick; musicians tim mcgraw, justin bieber, clint black, ll cool j,  nick carter, kristin chenoweth, paula abdul, gloria gaynor, la toya jackson, barry manilow, bret michaels, gene simmons and jordin sparks; and celebrity chefs wolfgang puck, guy fieri and curtis stone.",https://i.ytimg.com/vi/_3-kizWli2w/default.jpg,120,90,https://i.ytimg.com/vi/_3-kizWli2w/mqdefault.jpg,320,180,https://i.ytimg.com/vi/_3-kizWli2w/hqdefault.jpg,480,360,https://i.ytimg.com/vi/_3-kizWli2w/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/_3-kizWli2w/maxresdefault.jpg,1280.0,720.0,The Doctors,"['abuse', 'travis stork', 'travis', 'doctors', 'Teenagers', 'wellness', 'the drs', 'the doctors cbs', 'ordon', 'dr. rachael', 'drs', 'dr. ordon', 'mental', 'dr. nita', 'dr. berman', 'healthy', 'the doctors', 'thedoctors', 'daytime', 'dr. travis', 'physical', 'medicine', 'drew ordon', 'integration', 'parenting', 'tips', 'health', 'dr. nita landry', 'advice', 'dr. ashton']",24,none,Son Was Killed in Teen Wilderness Camp Nightmare,"Lynn joins The Doctors to share her experience sending her teen son that lacked confidence to a wilderness camp designed for troubled kids. Six days in, she received a call no mother should get.

Subscribe to The Doctors: http://bit.ly/SubscribeTheDrs
Like us on Facebook: http://bit.ly/FacebookTheDoctors
Follow us on Twitter: http://bit.ly/TheDrsTwitter
Follow us on Instagram: http://bit.ly/InstagramTheDoctorsTV
Follow us on Pinterest: http://bit.ly/PinterestTheDrs

About The Doctors:

The Doctors is an Emmy award-winning daytime talk show hosted by ER physician Dr. Travis Stork, plastic surgeon Dr. Andrew Ordon and OB-GYN Dr. Nita Landry.

The Doctors helps you understand the latest health headlines, such as the ice bucket challenge for ALS and the Ebola outbreak; delivers exclusive interviews with celebrities dealing with health issues, such as Lamar Odom, Teen Mom star Farrah Abraham, reality stars Honey Boo Boo and Mama June, and activist Chaz Bono; brings you debates about health and safety claims from agricultural company Monsanto and celebrities such as Jenny McCarthy; and shows you the latest gross viral videos and explains how you can avoid an emergency situation. The Doctors also features the News in 2:00 digest of the latest celebrity health news and The Doctors’ Prescription for simple steps to get active, combat stress, eat better and live healthier. 

Now in its eighth season, The Doctors celebrity guests have included Academy Award Winners Sally Field, Barbra Streisand, Jane Fonda, Marcia Gay Harden, Kathy Bates and Marisa Tomei; reality stars from Teen Mom and The Real Housewives, as well as Kris Jenner, Caitlyn Jenner, Melissa Rivers, Sharon Osbourne, Tim Gunn and Amber Rose; actors Jessica Alba, Christina Applegate, Julie Bowen, Patricia Heaton, Chevy Chase, Kristin Davis, Lou Ferrigno, Harrison Ford, Grace Gealey, Cedric the Entertainer, Valerie Harper, Debra Messing, Chris O’Donnell, Betty White, Linda Gray, Fran Drescher, Emmy Rossum, Roseanne Barr, Valerie Bertinelli, Suzanne Somers; athletes Magic Johnson, Apolo Ohno and Danica Patrick; musicians Tim McGraw, Justin Bieber, Clint Black, LL Cool J,  Nick Carter, Kristin Chenoweth, Paula Abdul, Gloria Gaynor, La Toya Jackson, Barry Manilow, Bret Michaels, Gene Simmons and Jordin Sparks; and celebrity chefs Wolfgang Puck, Guy Fieri and Curtis Stone.",en,PT4M54S,2d,hd,True,True,rectangular,processed,public,youtube,True,True,False,182417,2291.0,58.0,0,399.0,en,,,,2017
125,EKAOKXZJaF8,0.0,youtube#video,dmLky4hjKI_XMVBUrTzcVlASI5M,2017-05-31 08:15:05+00:00,UCjwffQZDljsMZBTQbnQo8Ew,amber heard gets seal of approval from elon musk’s children as they spend quality time together,"watch the latest hollywood gossip.stay tuned for more hollywood news,celeb gossip and complete entertainment news.
please like and comment your opinion.
click here to subscribe : https://goo.gl/l9w7tl",https://i.ytimg.com/vi/EKAOKXZJaF8/default.jpg,120,90,https://i.ytimg.com/vi/EKAOKXZJaF8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/EKAOKXZJaF8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/EKAOKXZJaF8/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/EKAOKXZJaF8/maxresdefault.jpg,1280.0,720.0,Agent X,"['celeb news', 'Heard', 'celeb gossip', 'black celebrity gossip', 'breaking celebrity news', 'celebrity gossip', 'hollywood news', 'celebrity', 'Elon Musk', 'showbiz news', 'hollywood gossip', 'Amber Heard', 'Amber Heard gets seal of approval from Elon Musk’s children as they spend quality time together', 'Elon Musk’s children', 'celeb', 'gossip', 'black gossip', 'celebrity news', 'Amber', 'Musk', 'latest celebrity news', 'entertainment news', 'Elon']",25,none,Amber Heard gets seal of approval from Elon Musk’s children as they spend quality time together,"watch the latest hollywood gossip.Stay tuned for more hollywood news,celeb gossip and complete entertainment news.
Please like and comment your opinion.
Click here to subscribe : https://goo.gl/L9w7tL",,PT2M7S,2d,hd,False,True,rectangular,processed,public,youtube,True,True,False,116,0.0,0.0,0,0.0,,,,,2017
154,fNWdTLtt_Oc,,youtube#video,do9bOaopbhL1SxdMWAhBySX_O28,2017-01-04 23:45:28+00:00,UCdtXPiqI2cLorKaPrfpKc4g,amber heard responds to johnny depp's request for $100000 in attorney fees: 'i want my life back',"more from entertainment tonight: http://bit.ly/1xtqtvw  

the 30-year-old actress' divorce battle with her ex continues.",https://i.ytimg.com/vi/fNWdTLtt_Oc/default.jpg,120,90,https://i.ytimg.com/vi/fNWdTLtt_Oc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/fNWdTLtt_Oc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/fNWdTLtt_Oc/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/fNWdTLtt_Oc/maxresdefault.jpg,1280.0,720.0,Entertainment Tonight,"['want life back', 'over', 'the run diary', 'News', 'fired back', 'battle', 'punish', 'statement', 'prolong', 'divorce', 'ETonline', 'domestic violence', 'divorcing', 'fees', 'request', 'legal', 'entertainment tonight', 'et trending', 'alice in wonderland', 'ettrending', 'johnny depp', 'court', 'shocking video', 'johnny depp wine', 'update', 'divorced from johnny', 'ET', 'now', 'life back', 'domestic abuse', 'crazy video', 'alice through the looking glass', 'etonline', 'Celebrity', 'attorneys', 'amber heard', 'attourney']",24,none,Amber Heard Responds to Johnny Depp's Request for $100000 in Attorney Fees: 'I Want My Life Back',"More from Entertainment Tonight: http://bit.ly/1xTQtvw  

The 30-year-old actress' divorce battle with her ex continues.",en-US,PT1M5S,2d,hd,False,True,rectangular,processed,public,youtube,True,True,False,13152,68.0,8.0,0,25.0,,,,,2017
