__label__1 , How pathetic! This truly shows how big of a low life you really are! 
__label__1 , the same journalist wrote these articles!! if poppy wood contacts you, replying wouldn’t be a good idea, be careful!
__label__1 , The road to Hell is paved with good intentions.  ""She intended to fulfill the $7m pledge 'eventually'.""  "
__label__1 , "As horrific as the thought is, imagine Johnny Depp didn’t recover from the MRSA…
__label__1 , Amber Heard is not only an abuser, manipulator, liar & thief
__label__1 , she threatens the LIFE & safety of those around her.
__label__1 , PUT HER IN JAIL FFS! "
__label__1 , Absolutely disgusting! 
__label__1 , "That woman doesn’t know what the truth is, yeah of course it’s JDs fault "
__label__1 , "Amber Heard’s lawyer’s “response” to the assertion that she didn’t give the $7 million to charity she has been lying about giving for 4 years and under oath is ... that she didn’t give the money. 
__label__1 , And the reason is that Johnny Depp sued her 3 years later. 
__label__1 , Her biggest most egregious lie was the DV.  AH saw an opportunity for finally using a rich guy and reeled him in 
__label__1 , I stop using L’Oreal because of her. I love how Warner Bros. makes Johnny resign but keeps Ezra Miller Who was on tape abusing a person. I’m literally confused.  
__label__1 , Was looking forward to this but won't be watching due to your support for domestic abusers 
__label__1 , PR must be charging double now they are in over drive.
__label__1 , Have you no friggin shame AH ?? You was busted in a lie! Well more than once too tell you the truth 
__label__1 , " you are complicit in perpetuating Amber Heard’s fraud, her continual abuse of Johnny Depp through the media, and insulting DV victims everywhere of all genders "
__label__1 , The lawsuits came about much later because of her actions when she got greedy how does that even make sense to blame on johnny.
__label__1 , So Elon Musk is now the richest man in the world? Hmm I wonder if AH will start sniffing round him again....
__label__1 , Amber Heard's lawyer has confirmed Amber did not donate her divorce settlement to charity
__label__1 , Ambers claim UNDER OATH cost Johnny Depp to lose The Sun libel case"
__label__1 , Johnny Depp went through hell. He and his children were sent death threats because this sad excuse of an actress. She's lied so consistently that I'm pretty sure she doesn't know the concept of truth. Why are Warner Bros and L'Oréal still endorsing her? 
__label__1 , Evidence proving Amber Heard was abusive to Johnny Depp
__label__1 , Waiting for the mainstream media to cover that Amber Heard never donated the divorce money to charity like she has been saying for four years... and under penalty of perjury.
__label__1 , "She lied on TV, she lied in court - her barrister lied in court - the judge based his summary on: by donating the money this is hardly the action of a goldigger  "
__label__1 , She definitely has never stopped. He is dodging a subpoena as he is screwed by telling the truth Heard will blackmail him or lie under oath
__label__1 , Why is anyone still defending Amber Heard a proven liar 
__label__1 , We will leave her alone when she keeps her word and donates $7 million to charity.
__label__1 , She could say it is irrevelant!! 
__label__1 , YUPPPP NOT TO MENTION THE RAP3 STORY SHE STOLE! Sorry not sorry I will never shut up about 
__label__1 , ‘Her donation of the $7 million to charity is hardly the act one would expect of a gold-digger.' 
__label__1 , Time to give Amber Heard a lump of fucking coal that she deserves. 
__label__1 , the incident they are clinging to was one they admit themselves was accidental. I like the fact that they cling to the accidental headbutt but don’t wanna talk about what he was trying to defend himself against when it happened. 
__label__1 , " you still hailing your ""sister""/""warrior"" Amber Heard? The same person who lied about donating millions to "
__label__1 , EXCLUSIVE: Johnny Depp accuses Amber Heard of pocketing $7M settlement
__label__1 , EXCLUSIVE: Johnny Depp has accused Amber Heard of pocketing $7M divorce settlement and repeatedly 'lying' about giving it all to charity
__label__1 , Are you ever relieved that activists like Amber Heard are standing up for human rights? Because like ... I just trust people with a history of domestic violence who promise critically ill children money and then not give it to them and then lie about it under oath.
__label__1 , "It was always all about the money!!! Amber Heard is a manipulative liar, and yet the judge based his entire decision on her word. "
__label__1 , It will be light as air if you fire this abuser and liar!
__label__1 , Thank God Johnny Depp got away from Amber Heard alive!"
__label__1 , "If Chris Brown was a white girl, her name would be Amber Heard "
__label__1 , "Unfortunately, that’s what abusers do. It is their meat & drink. "
__label__1 , This Aussie girl will always want 
__label__1 , "Which begs the question...what else did she lie about? Because if her lips are moving, she's lying."
__label__1 , JD might not be tech savvy but he sure is pirate savvy. Savvy?
__label__1 , "I’ve never seen two people deserve each other more than the two in this pic. Don’t worry tho Danny boy, you won’t be one of her victims, you’re not rich enough. "
__label__1 , "Today's a good day to remind this very embarrassing video of Amber Heard...
__label__1 , The nurse is literally trying to take back the baby, who just had surgery, and Amber just ignores her."
__label__1 , "What D.V. victim would complaint because the abuser is splitting? If you know a fight could lead to an attack, why would you want him to stay and argue? 
__label__1 , Johnny obviously was anticipating that she would ""not punch, but hit"" him. "
__label__1 , Johnny Depp accuses Amber Heard of taking $7M settlement while lying about giving it all to charity
__label__1 , " I'm not going to get into the details of that fight. You and I both know that you split when there is no physical violence involved and that you do it... like at the very beginning of fights these days. “ 
__label__1 , "Johnny Depp; a man whose life and career was attacked based on ‘dem say dem say’ and when other angles came out, nobody was interested because it’s not really objectivity and values. It’s about power"
__label__1 , Totally laughable!!
__label__1 , "Love how people are on Johnny´s side. She can bribe media all she wants, but people know who´s side they prefer to be on. "
__label__1 , "He never lied.. He was trying to say something all along and no ones listened until now. The world owes him an apology. I commend him for all he's accomplished, and all that he WILL. "
__label__1 , Busted! How glorious this is!!! What an absolute lying horrible human being. ACLU can’t blow off subpoenas can they? 
__label__1 , "Shocker, a cunt lied."
__label__1 , "this is not okay, she gets to lie and keep acting but he gets ruiend for no reason! she should be in prison. "
__label__1 , The way you speak about a person who's suffered abuse is what's nauseating. Utterly utterly shameful.
__label__1 , A psychopath does that. 
__label__1 , why would it not be ah sues Adam though use of Hoax is attached to 
__label__1 , "You know what really angers me, all the media outlet headlines regarding JD & AH. We all know better.. This woman is the devil! "
__label__1 , Drop the Toronto tapes!! 
__label__1 , "Some of you may know, I did an analysis of the Sept 2016 audio (where she gives him a Xanax and claims she can't promise no more violence).Later today I will be posting it again in one thread.Watch this space."
__label__1 , Abuse enabler 
__label__1 , Lol amber heard interview disliked by over 400K people on you tube 
__label__1 , "Hypocritical, if they're using PR firms and media with interest in the case to report false and misleading information Depp's team must have access to an outlet to defend themselves.  "
__label__1 , "Amber Heard stole money that she didn't earn, money from someone else's sucess, from sick children. "
__label__1 , Yes! Its heartbreaking.
__label__1 , Kappy you sound redickless harassin us  REAL DV survivors women like y’all are a disgrace to women kind be gone peasant 
