id,text,defense_AH,support_AH,offense_AH,defense_against_AH
1,I love her ??,0,1,0,0
2,"Be the change you want to see. I will never understand why it is more shameful to be a battered victim than to be a wife-beater. And I will never understand why it is more shameful to be raped than to be a rapist!“-Anita Kanitz“They are all innocent until proven guilty. But not me. I am a liar until I am proven honest.”? Louise O'Neill, Asking For It“In order to escape accountability for his crimes, the perpetrator does everything in his power to promote forgetting. If secrecy fails, the perpetrator attacks the credibility of his victim. If he cannot silence her absolutely, he tries to make sure no one listens.”? Judith Lewis Herman, Trauma and Recovery: The Aftermath of Violence - From Domestic Abuse to Political Terror“The guarantee of safety in a battering relationship can never be based upon a promise from the perpetrator, no matter how heartfelt. Rather, it must be based upon the self-protective capability of the victim. Until the victim has developed a detailed and realistic contingency",1,1,0,0
3,I cannot sit back and do nothing when this woman is being vilified by Johnny Depp and movie people who fear losing money. The video shows his violence clearly. I have been subjected to nasty attacks on Twitter for my attempts to defend her. She needs our support.,1,1,0,0
4,"Amber Heard is a positive influence and, importantly, fought back against an abusive man and abusive system.",1,1,0,0
5,I believe Amber Heard,1,1,0,0
6,I think she is a pretty good person and actress.,0,1,0,0
7,support you,0,1,0,0
8,I support her,1,1,0,0
9,We should protect Amber from the mean predators.,1,1,0,0
10,Support her,1,1,0,0
11,Support Amber Heard,1,1,0,0
12,Believe women,1,1,0,0
13,#WeAreWithYouAmberHeard,1,1,0,0
14,We support you,1,1,0,0
15,we are with you,1,1,0,0
16,I can not imagine Hollywood without Amber Heard,1,1,0,0
17,We need more women actors,1,1,0,0
18,I always support Amber Heard,1,1,0,0
19,Because she's qualified.,1,1,0,0
20,Amber deserves better than this.,1,1,0,0
21,I support amber heard.,1,1,0,0
22,??? ??? I SUPPORT AMBER,1,1,0,0
23,I support Amber Heard in Aquaman 2,1,1,0,0
24,I wholeheartedly support Amber Heard.,0,1,0,0
25,I really want to see her,0.5,1,0,0
26,Singsing,0,1,0,0
27,WeAreWithYouAmberHeard,1,1,0,0
28,We Support Amber Heard in Aquaman 2,1,1,0,0
29,I am with you amberheard:)?,1,1,0,0
30,Save her,1,1,0,0
31,I want Amber’s succession,1,1,0,0
32,Because it is right,0.5,0.5,0,0
33,???? ???!,0,1,0,0
34,she is perfect not only for character but man,1,1,0,0
35,She is perfect,0,1,0,0
36,???? ???? ??? ???,0,1,0,0
37,"?? ? ? ??? ???? ?? ???? ?? ???? ?? ? ??. ?? ?? ?? ???? ??? ????? ???? ???? ?? ???? ???? ?? ??. ???? ?? ???, ? ?? ???? ??? ?? ??? ???? ??. ?????? ??? ?????? ???? ??? ? ??.",0,1,0,0
38,"I support Amber Heard, support women, support domestic violence victims.",1,1,0,0
39,support you as long as I can,0.5,1,0,0
40,"I'm from korea I like her, I don't wnat see Jonny Depp no more",1,1,0,0
41,Plz,0,0,0,0
42,Amber Heard is wonderful in the role of Mera. I fully support and believe her.,1,1,0,0
43,?? ??? ??,0,1,0,0
44,I support her.#WeAreWithYouAmberHeard,1,1,0,0
45,I and we support Amber,1,1,0,0
46,support you,0.5,1,0,0
47,cheer up,0.5,1,0,0
48,??? ????,0,1,0,0
49,We need you Amber Heard.,1,1,0,0
50,she is best actress i am with you,1,1,0,0
51,"Amber Heard is a positive influence and, importantly, fought back against an abusive man and abusive system.",1,1,0,0
52,"I love you, Amber.",0,1,0,0
53,I always support you.,0,1,0,0
54,"No more domestic violent allowed in our society. Amber Heard might be just one of victims but still a celebrity, so hope the other victims empowered by watching how people support her.",1,1,0,0
55,???? ???? ???? ???? ????? ? ???? ??? ?? ???? ????.,0,1,0,0
56,I am signing because she deserves it.,0,1,0,0
57,Amber is a brave woman who always motivates me. I’m always on your back!,1,1,0,0
58,I love you Amber!,0,1,0,0
59,???? ???? ???? ???? ???????? ???? ??? ? ??? ???? ????,0,1,0,0
60,Because Amber Hear is Mera,1,1,0,0
61,She is awesome as Mera. No one else can have that role!,1,1,0,0
62,?????. ????.,0,1,0,0
63,Ember is best. actually she is emperor of ocean,1,1,0,0
64,"Ember heard is a good actor. In the other hand, Johny depp is criminal. If someone have to out, it should be Johnny Depp.",1,1,0,0
65,Amber Heard is Mera,1,1,0,0
66,???? ?? ????? ??? ????? ????,0,1,0,0
67,"I am with you, Amber",1,1,0,0
68,I love you amber heard,0,1,0,0
69,Amber I love you.,0,1,0,0
70,for Amber,0,1,0,0
71,? I’m always rooting for you.,0.5,1,0,0
72,I SUPPORT HER. from South Korea.,1,1,0,0
73,Amber heard is great actress and smoking hot and hasn’t nothing done wrong to Johnny Depp!,1,1,0,0
74,Her role as Mera is perfect,1,1,0,0
75,??? is trash don't shield him,0.5,1,0,0
76,I REALLY want to see her in many movies. Not HIM.,1,1,0,0
77,#WeAreWithYouAmberHeard,1,1,0,0
78,She is a good actor. I really want to see her at Aquaman 2 again. It's impossible that she have to get out of the movie because of Johnny Depp's fans. He is still taking films as a movie star why can't Amber Heard?,1,1,0,0
79,????? ??????? ??? ? ?????? ??? ????,0,1,0,0
80,???,0,1,0,0
81,Supporting from Honduras ?,0,1,0,0
82,we are with you!,0,1,0,0
83,"She is perfect as Mera, no one can replace her! Lot of love from Malaysia??#wearewithyou!",1,1,0,0
84,"She is excellent for the role, more so, we want more of the same from her previous role. She is simply good at the many things she does.",1,1,0,0
