user.id_str,user.screen_name,user.name,user.created_at,user.description,user.profile_image_url,user.profile_banner_url,user.url,user.statuses_count,user.followers_count,user.friends_count
953459878563057664,sinangeIs,Allison.,2018-01-17 02:52:04+00:00,"⠀⠀⠀ ⠀⠀⠀ ⠀⠀ ⠀⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀⠀ ⠀ ⠀⠀⠀ ⠀⠀ ⠀⠀⠀ ⠀⠀⠀ ⠀⠀ ⠀⠀𝙮𝙤𝙪 𝙖𝙧𝙚 𝙢𝙮 𝙘𝙖𝙣𝙙𝙮, 𝙜𝙞𝙧𝙡.⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀",http://pbs.twimg.com/profile_images/957779782971817984/H3Px0Jra_normal.jpg,https://pbs.twimg.com/profile_banners/953459878563057664/1517187471,,74,19,25
953616883583942656,nolscy,jane lane,2018-01-17 13:15:57+00:00,❣️harley’s musing shit❣️ ( @nosvrprises ),http://pbs.twimg.com/profile_images/962034980393111553/06Tc3_vY_normal.jpg,https://pbs.twimg.com/profile_banners/953616883583942656/1518201989,https://t.co/AOE1uC82f7,493,13,18
950011789105876994,dvdhaller,Paul,2018-01-07 14:30:35+00:00,Que tipo de homem insensato não teria medo de um fazendeiro que se transformou num Rei?,http://pbs.twimg.com/profile_images/950256719149633537/BWQRUTjl_normal.jpg,,,46,1,35
949129383553347585,myfashionsp2018,My Little Fashion Spot,2018-01-05 04:04:13+00:00,Some inspiration for the daily style hunters out there 😍.,http://pbs.twimg.com/profile_images/949135298666967041/S7dSLUjz_normal.jpg,https://pbs.twimg.com/profile_banners/949129383553347585/1515176266,https://t.co/hJutgQyW0D,1087,23,11
947988568432984064,abdietory,gerald,2018-01-02 00:31:02+00:00,how do I uninstall my personality,http://pbs.twimg.com/profile_images/961609903516221440/koFYNNCx_normal.jpg,https://pbs.twimg.com/profile_banners/947988568432984064/1514860718,,255,44,58
958101362411278336,awardowney,golden downey awards,2018-01-29 22:15:40+00:00,essa eh a conta dos awards e outros eventos que o downey defense squad terá. eh isto beijo de luz tchau,http://pbs.twimg.com/profile_images/959576051717459974/_T87rLBa_normal.jpg,https://pbs.twimg.com/profile_banners/958101362411278336/1517264958,,186,21,18
954996426282545153,merKara08303041,Ö mer Karaman,2018-01-21 08:37:45+00:00,twitter #gündem e#dâir haber #,http://pbs.twimg.com/profile_images/999538547454443520/E57QaXEZ_normal.jpg,https://pbs.twimg.com/profile_banners/954996426282545153/1516528677,,2992,11,90
955838421355974658,fameshaming,fameshaming,2018-01-23 16:23:33+00:00,,http://pbs.twimg.com/profile_images/955969676537819137/TAmJq-J9_normal.jpg,,,18,0,96
951548174824558592,heroesqdawards,HEROESQUAD AWARDS,2018-01-11 20:15:38+00:00,a premiação mais aguardada da temporada,http://pbs.twimg.com/profile_images/957373869232357376/TJ5mRvgK_normal.jpg,https://pbs.twimg.com/profile_banners/951548174824558592/1517090691,,124,16,18
950446483488337920,FxreJay,dαvє,2018-01-08 19:17:54+00:00,Dave [J] Mills | Orphan | ᴍᴜᴛᴀɴᴛ |   [#Rol],http://pbs.twimg.com/profile_images/1034894214000205824/5hpjewMU_normal.jpg,https://pbs.twimg.com/profile_banners/950446483488337920/1535493947,,8994,247,330
956195870084599808,HeardFan,Amber Heard Fan,2018-01-24 16:03:55+00:00,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,7,2,50
951085177102618625,MorrPr,MORR PR,2018-01-10 13:35:51+00:00,THE PR COMPANY THAT GIVES YOU MORR.,http://pbs.twimg.com/profile_images/951086270410878976/QUJFeK8M_normal.jpg,https://pbs.twimg.com/profile_banners/951085177102618625/1515591726,https://t.co/lIHPvDBB1X,1468,226,197
952595593112838149,nati1948due,Nati Duennwald,2018-01-14 17:37:42+00:00,"I'm an idealist and my life motto is: Do not dream your life, live your dreams -Cineast- I love books, music, any kind of art and interesting ideas and people",http://pbs.twimg.com/profile_images/952600153264926722/L-fqv3re_normal.jpg,https://pbs.twimg.com/profile_banners/952595593112838149/1520702208,,29523,372,2002
952563525494321153,BlooFilmCom,BlooFilm.com,2018-01-14 15:30:17+00:00,Provide information and everything's going on the movie industry.,http://pbs.twimg.com/profile_images/952571288442187776/NKphPt6c_normal.jpg,,https://t.co/zuKAWF9TDQ,170,9,10
968381929329393664,uknowledge1,US.Vision,2018-02-27 07:06:58+00:00,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,7,1,110
953843864594518016,InvestorVisaAU,Meaghan Bernier,2018-01-18 04:17:53+00:00,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,3929,8,69
964683790005174272,annazhuu,anna,2018-02-17 02:11:53+00:00,instigator as fuck,http://pbs.twimg.com/profile_images/978793628897181696/Mcg5JYJa_normal.jpg,https://pbs.twimg.com/profile_banners/964683790005174272/1518833992,,194,14,0
951966857514405888,jlsawards,jls awards,2018-01-12 23:59:20+00:00,award do squad dos maiores marvetes já existentes ⚡,http://pbs.twimg.com/profile_images/951967862222188549/_4-FHoAZ_normal.jpg,https://pbs.twimg.com/profile_banners/951966857514405888/1515801798,,104,19,29
957769597024899075,aaniclara,anaclara todojunto,2018-01-29 00:17:21+00:00,"25 🌻 estudio psicología, me quejo todo el tiempo y spoileo muchas cosas. peronista de néstor y cristina ✌🏻 bloqueo terfs. ella/elle",http://pbs.twimg.com/profile_images/1386093735658786821/_GkR2TAY_normal.jpg,https://pbs.twimg.com/profile_banners/957769597024899075/1614362449,,66486,412,487
948250055030575104,jennjenngoddam1,Jenn Jenn,2018-01-02 17:50:05+00:00,I believe jokes can be about anything when told correctly. Vote to restrict rights of others today & you open the door for others to take away yours tomorrow.,http://pbs.twimg.com/profile_images/1225136269665107968/Z_uRveUb_normal.jpg,https://pbs.twimg.com/profile_banners/948250055030575104/1514916499,,181,4,326
959340965310812160,robiuli95404865,robiul islam,2018-02-02 08:21:24+00:00,robiul islam xccng jfjgg ghastly check ghouls ghosts gfcuvv Fbi custody didn't offset gdjd Vhs duke's civil covered cxjx chair civilian coxcombs clxvii cuckold,http://pbs.twimg.com/profile_images/959344177199824897/zB7l58Ok_normal.jpg,,,14,21,62
957715589295943681,ViralsXd,viralsXD,2018-01-28 20:42:44+00:00,,http://pbs.twimg.com/profile_images/957794018003337216/O6ZBsOez_normal.jpg,,,7729,14,87
959131472824291330,DrumJamingPro,DrumersDaily,2018-02-01 18:28:57+00:00,Drum videos and news out of the music biz,http://pbs.twimg.com/profile_images/1157654079193137153/t9EM33bv_normal.png,https://pbs.twimg.com/profile_banners/959131472824291330/1564841201,https://t.co/7SJ88InufN,31,304,2171
959246196442390529,mskarinacook,Karina Cook,2018-02-02 02:04:49+00:00,"The very rare unicorn: I'm a woman in the tech industry, doing my best to fit in 😀. I can do Python and understand blockchains.",http://pbs.twimg.com/profile_images/959249497590304770/zjtWqrJ2_normal.jpg,https://pbs.twimg.com/profile_banners/959246196442390529/1519118159,,95,41,231
958536958149644289,realvegans4sure,Hannah,2018-01-31 03:06:34+00:00,.,http://pbs.twimg.com/profile_images/1291552763168600064/Dj8uXWTe_normal.jpg,,,936,20,127
959864717408837632,Sandra04709256,Sandra,2018-02-03 19:02:36+00:00,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,16,0,26
963518088493887488,hotcelebnews360,Hot Celebrity News,2018-02-13 20:59:48+00:00,Check out the latest celebrity news every hour on https://t.co/u0ZJ81d3MS,http://pbs.twimg.com/profile_images/963521246687248384/iwVDHdqh_normal.jpg,https://pbs.twimg.com/profile_banners/963518088493887488/1519518072,,19310,453,1330
955625516802985984,depprimido_,vick,2018-01-23 02:17:32+00:00,loucura é só uma questão de ponto de vista. ✨ •fan account•,http://pbs.twimg.com/profile_images/1038620864504365058/14A9pbBe_normal.jpg,https://pbs.twimg.com/profile_banners/955625516802985984/1536461524,,558,28,137
961251626181971968,akashfaqirchan2,Akash Aftab,2018-02-07 14:53:41+00:00,,http://pbs.twimg.com/profile_images/961254210057723907/C1p2y7Rm_normal.jpg,https://pbs.twimg.com/profile_banners/961251626181971968/1518060529,,48,16,101
963233676069867522,irakli20012,irakli2001,2018-02-13 02:09:39+00:00,Mylove💗,http://pbs.twimg.com/profile_images/964005869674487808/wcjmjgYm_normal.jpg,https://pbs.twimg.com/profile_banners/963233676069867522/1519541878,,117,164,4258
963435947164618752,HerDamnedSoul,Aʟᴇx Sᴀxᴏɴ.,2018-02-13 15:33:24+00:00,𝘞𝘦'𝘳𝘦 𝘢𝘭𝘭 𝘨𝘰𝘪𝘯𝘨 𝘵𝘰 𝘥𝘪𝘦... 𝘔𝘪𝘨𝘩𝘵 𝘢𝘴 𝘸𝘦𝘭𝘭 𝘦𝘯𝘫𝘰𝘺 𝘵𝘩𝘦 𝘳𝘪𝘥𝘦. ━ ☠ #SPNRP #OC,http://pbs.twimg.com/profile_images/963439453300772867/4jgd20jl_normal.jpg,https://pbs.twimg.com/profile_banners/963435947164618752/1518536936,https://t.co/wiewLnd7Kp,60,17,25
963010958250541058,fizzleprincess,Jenna Coleman,2018-02-12 11:24:39+00:00,"— My K i t . [ f a k e, not affiliated with the real Lily James ] temporary swap as : Jenna Coleman",http://pbs.twimg.com/profile_images/975837119263453189/L-J0q-LY_normal.jpg,https://pbs.twimg.com/profile_banners/963010958250541058/1520327485,https://t.co/6NfhcoW87f,911,43,62
951715714267672576,anunonymous,lokissance (loki renaissance),2018-01-12 07:21:23+00:00,"in the words of sasuke uchiha, “there are lots of things i hate, and not many things i like” | blm",http://pbs.twimg.com/profile_images/1270248665404149760/UgS0hF3L_normal.jpg,https://pbs.twimg.com/profile_banners/951715714267672576/1591686062,https://t.co/7zvG3BJI5u,5879,1052,89
949392265662754816,ElainePSLam,PS,2018-01-05 21:28:49+00:00,All things food & politics.....an uncomfortable alliance!,http://pbs.twimg.com/profile_images/949963613304905728/TMeTHYOx_normal.jpg,,,28,9,30
